,"Frequency, Hz","PSD, V_rms/sqrt(Hz)"
0,250.0,8.676e-06
1,500.0,1.38939e-06
2,750.0,9.64656e-07
3,1000.0,5.81406e-07
4,1250.0,1.09457e-07
5,1500.0,1.71687e-07
6,1750.0,3.13811e-07
7,2000.0,2.41982e-07
8,2250.0,4.14469e-07
9,2500.0,1.88242e-07
10,2750.0,6.12784e-08
11,3000.0,9.789e-08
12,3250.0,6.02502e-08
13,3500.0,2.7186e-07
14,3750.0,1.70183e-07
15,4000.0,1.89521e-07
16,4250.0,1.99661e-07
17,4500.0,1.3212e-07
18,4750.0,1.43397e-07
19,5000.0,7.52794e-08
20,5250.0,2.30627e-07
21,5500.0,1.63409e-07
22,5750.0,1.13148e-07
23,6000.0,2.41164e-07
24,6250.0,2.00474e-07
25,6500.0,3.20466e-07
26,6750.0,2.44617e-07
27,7000.0,7.24302e-08
28,7250.0,1.05457e-07
29,7500.0,3.26377e-07
30,7750.0,1.10724e-07
31,8000.0,6.02502e-08
32,8250.0,1.69035e-07
33,8500.0,1.56164e-07
34,8750.0,8.52066e-08
35,9000.0,1.91585e-07
36,9250.0,6.02502e-08
37,9500.0,3.68917e-07
38,9750.0,1.1125e-07
39,10000.0,1.25325e-07
40,10250.0,1.07839e-07
41,10500.0,1.26262e-07
42,10750.0,3.15943e-07
43,11000.0,8.28744e-08
44,11250.0,1.61868e-07
45,11500.0,6.02502e-08
46,11750.0,1.35746e-07
47,12000.0,1.21648e-07
48,12250.0,2.24163e-07
49,12500.0,1.8014e-07
50,12750.0,1.92364e-07
51,13000.0,2.15824e-07
52,13250.0,1.17123e-07
53,13500.0,2.15532e-07
54,13750.0,7.52794e-08
55,14000.0,1.63409e-07
56,14250.0,2.94267e-07
57,14500.0,1.40609e-07
58,14750.0,2.02382e-07
59,15000.0,1.48534e-07
60,15250.0,2.41164e-07
61,15500.0,2.68386e-07
62,15750.0,2.6104e-07
63,16000.0,1.03898e-07
64,16250.0,2.46946e-07
65,16500.0,2.48287e-07
66,16750.0,1.92364e-07
67,17000.0,8.59597e-08
68,17250.0,1.88242e-07
69,17500.0,1.24227e-07
70,17750.0,8.87985e-08
71,18000.0,2.01835e-07
72,18250.0,9.8822e-08
73,18500.0,1.59475e-07
74,18750.0,1.90035e-07
75,19000.0,1.01948e-07
76,19250.0,6.07005e-08
77,19500.0,8.77826e-08
78,19750.0,6.02502e-08
79,20000.0,2.49297e-07
80,20250.0,4.55051e-07
81,20500.0,1.7832e-07
82,20750.0,2.79511e-07
83,21000.0,1.9354e-07
84,21250.0,6.02502e-08
85,21500.0,1.2781e-07
